Grado en Ciencias de la Actividad Física y del Deporte,Facultad de Ciencias de la Educación,Natación II: Fundamentos Avanzados y su Entrenamiento,1540044
Grado en Ciencias de la Actividad Física y del Deporte,Facultad de Ciencias de la Educación,Organización de Eventos Deportivos,1540045
Grado en Ciencias de la Actividad Física y del Deporte,Facultad de Ciencias de la Educación,Planificación y Dirección de Entidades e Instalaciones Deportivas,1540046
Grado en Ciencias de la Actividad Física y del Deporte,Facultad de Ciencias de la Educación,Prácticas de Gestión en Instituciones Deportivas,1540047
Grado en Ciencias de la Actividad Física y del Deporte,Facultad de Ciencias de la Educación,Prácticas de Rendimiento Deportivo,1540048
Grado en Derecho,Facultad de Derecho,Derecho Civil I,1550001
Grado en Derecho,Facultad de Derecho,Derecho Constitucional I,1550002
Grado en Derecho,Facultad de Derecho,Derecho Internacional Público (Instituciones Jurídicas de la Unión Europea),1550003
Grado en Derecho,Facultad de Derecho,Derecho Penal. Parte General,1550004
Grado en Derecho,Facultad de Derecho,Economía Política y Hacienda Pública,1550005
Grado en Derecho,Facultad de Derecho,Filosofía del Derecho,1550006
Grado en Derecho,Facultad de Derecho,Formación Histórica del Derecho,1550007
Grado en Derecho,Facultad de Derecho,Historia del Derecho,1550008
Grado en Derecho,Facultad de Derecho,Instituciones de Derecho Romano,1550009
Grado en Derecho,Facultad de Derecho,Introducción Histórica al Derecho Romano,1550010
Grado en Derecho,Facultad de Derecho,Teoría del Derecho,1550011
Grado en Derecho,Facultad de Derecho,Derecho Administrativo I,1550012
Grado en Derecho,Facultad de Derecho,Derecho Civil II,1550013
Grado en Derecho,Facultad de Derecho,Derecho Constitucional II,1550014
Grado en Derecho,Facultad de Derecho,Derecho Constitucional III,1550015
Grado en Derecho,Facultad de Derecho,Derecho Internacional Público,1550016
Grado en Derecho,Facultad de Derecho,Derecho Penal. Parte Especial I,1550017
Grado en Derecho,Facultad de Derecho,Derecho Penal. Parte Especial II,1550018
Grado en Derecho,Facultad de Derecho,Derecho Procesal Civil,1550019
Grado en Derecho,Facultad de Derecho,Introducción al Derecho Procesal,1550020
